conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username;;;;
1964314011857809414,Sat Sep 06 13:45:20 +0000 2025,0,@bearbrik Mbg premium,1964324036844146882,,bearbrik,in,,0,0,0,https://x.com/undefined/status/1964324036844146882,329527320,;;;;
1964323991625372003,Sat Sep 06 13:45:09 +0000 2025,0,yang bikin keselnya ++ tuh pas gue udh menyampaikan keluhan (yang harusnya MINIMAL REPLY) karna mereka yg masak ini sama sekali ga dibaca like WTF? padahal followers ig yang bikin mbg nya jg gak sampe seribu anjg cm 200 an doang masa ga masuk notif adminnya,1964323991625372003,,,in,,0,0,0,https://x.com/undefined/status/1964323991625372003,1799090995570814976,;;;;
1964323304732319861,Sat Sep 06 13:42:25 +0000 2025,0,imo emang bnr mbg tuh agak ga berguna juga mending dana nya dipake buat pendidikan anjir daripada mbg. soalnya ga semua orang cocok sama makanannya apalagi misal yang masaknya pada ngasal terus kalo bahan bahannya ga sesuai bisa memicu alergi jg ke yang mengonsumsinya,1964323304732319861,,,in,,0,0,0,https://x.com/undefined/status/1964323304732319861,1799090995570814976,;;;;
1964200048469954724,Sat Sep 06 13:41:43 +0000 2025,0,@pia_jkt48v Kamu dapet MBG apa gimana pi? ,1964323125480575426,,pia_jkt48v,in,,0,0,0,https://x.com/undefined/status/1964323125480575426,1795338699762503680,;;;;
1964241086865694727,Sat Sep 06 13:41:26 +0000 2025,0,@kemgelapan @abraham_TS @iqbalkutul Karena before after program MBG. Tapi entah yang mana before yang mana after nya,1964323057365127490,,kemgelapan,tl,,0,0,0,https://x.com/undefined/status/1964323057365127490,173120016,;;;;
1963753792614396370,Sat Sep 06 13:39:47 +0000 2025,0,@DS_yantie Kayak nya progam MBG Prabowo di sabotase oleh orang2 terdekat untuk menjelek2an @prabowo,1964322639700459749,,DS_yantie,in,,0,0,0,https://x.com/undefined/status/1964322639700459749,1806529578422386688,;;;;
1964312475740099028,Sat Sep 06 13:39:18 +0000 2025,127,@CakKhum Coba bayangkan Prabowo menerima informasi keberhasilan MBG 99 99 persen dan jumlah kasus keracunan MBG cuman 200 orang... padahal hampir setiap minggu terjadi kasus keracunan MBG dan jumlah korban keracunan mencapai ribuan orang... https://t.co/eH6UyLun7H,1964322520892317934,https://pbs.twimg.com/media/G0Ks6_ZacAAHVsD.jpg,CakKhum,in,,2,7,39,https://x.com/undefined/status/1964322520892317934,80559922,;;;;
1964322015453888642,Sat Sep 06 13:37:18 +0000 2025,0,waduh @prabowo gimana nih day-7 makan mbg tiba tiba gatel gatel sebadan merah mata agak bengkak trs pusing. udah dari hari kamis tp sampe skrg gaada konfirmasi apa apa dari pihak mbg yang buat makanannyaaa,1964322015453888642,,,in,,0,1,0,https://x.com/undefined/status/1964322015453888642,1799090995570814976,;;;;
1964320872686387246,Sat Sep 06 13:32:46 +0000 2025,0,Lu juga suka nanya gw makan apa nyuruh makan apakah lu panitia mbg? ,1964320872686387246,,,in,,1,0,0,https://x.com/undefined/status/1964320872686387246,3024060120,;;;;
1964320149160288654,Sat Sep 06 13:29:53 +0000 2025,0,panitia MBG kah lu nanya udah makan blom,1964320149160288654,,,in,,1,0,0,https://x.com/undefined/status/1964320149160288654,933458793031184384,;;;;
